show_id,type,title,director,cast,country,release_year,rating,duration,genres
s2,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",India,2018,13+,110 min,"Drama, International"
s108,Movie,Whoop!,Kreeti Gogia,Abish Mathew,India,2018,18+,64 min,"Arts, Entertainment, and Culture"
s143,Movie,Wedding Cha Shinema,Saleel Kulkarni,"Shivraj Waichal, Rucha Inamdar, Mukta Barve, Purnima Ahire, Adesh Aware",India,2019,ALL,138 min,"Comedy, International"
s166,Movie,Waiting for You,Charles Garrad,"Colin Morgan, Fanny Ardant, Abdelkrim Bahloul, Clare Holman","United Kingdom, France",2018,13+,92 min,"Drama, Romance, Suspense"
s174,Movie,Vows of Deception,Bill Norton,"Cheryl Ladd, Nick Manusco, Nancy Cartwright, Vyto Ruginis, Mike Farrell, Cady Huffman",United States,1996,PG-13,94 min,"Drama, Suspense"
s176,Movie,Voice From the Stone,Eric D. Howell,"Emilia Clarke, Marton Csokas, Caterina Murino, Remo Girone","United States, Italy",2017,R,90 min,"Drama, Suspense"
s179,Movie,Viswasam,Siva,"Ajith Kumar, Nayanthara",India,2019,13+,151 min,"Action, Drama, International"
s181,Movie,Virus,Aashiq Abu,"Revathy, Kunchako Boban, Parvathy Thiruvoth",India,2019,ALL,149 min,"Drama, Science Fiction, Suspense"
s190,Movie,Vicky Velingkar,Saurabh Varma,"Sonalee Kulkarni, Spruha Joshi, Sangram Samel, Kettan Singh, Gaurav More, Rama Joshi, Vinita karat, Juhi Pawar",India,2019,13+,125 min,"International, Suspense"
s194,Movie,Vellai Pookal,Vivek Elangovan,"Vivek, Charlie, Dev, Pooja Devariya","United States, India",2019,13+,121 min,"International, Suspense"
s225,Movie,Under the Boardwalk: The Monopoly Story,Kevin Tostado,Zachary Levi,United States,2011,G,88 min,"Documentary, Special Interest"
s240,Movie,UFOs - The Secret History,David Cherniack,"Michael D. Swords PhD., Jerome Clark, David Jacobs Ph.D., Thomas E. Bullard Ph.D., Budd Hopkins, Travis Walton, Maj. Robert Friend (USAF Rtd.), Bruce Maccabee Ph.D., J. Gordon Melton Ph.D., David Rudiak",United States,2016,ALL,102 min,Special Interest
s259,Movie,True Colors,Herbert Ross,"Richard Widmark, Dina Merrill, Philip Bosco, Paul Guilfoyle, Steve Morley",United States,1991,R,110 min,Drama
s262,Movie,Tropic Thunder,Ben Stiller,"Ben Stiller, Jack Black, Robert Downey","United States, United Kingdom, Germany",2008,R,107 min,"Action, Comedy"
s264,Movie,Triple Seat (4K UHD),Sanket Prakash Pavse,"Ankush Chaudhari, Shivani Surve, Pallavi Patil",India,2019,NR,126 min,"Comedy, International"
s272,Movie,Transit,Antonio Negret,"James Caviezel, James Frain, Elisabeth Rohm, Harold Perrineau, Ryan Donowho",United States,2012,R,88 min,"Action, Drama, Suspense"
s281,Movie,Touch Chesi Chudu,Vikram Sirikonda,"Ravi Teja, Raashi Khanna, Seerat Kapoor",India,2018,13+,142 min,"Drama, International, Romance"
s284,Movie,Tortilla Soup,Maria Ripoll,"Héctor Elizondo, Jacqueline Obradors, Elizabeth Peña, Tamara Mello, Raquel Welch, Paul Rodriguez, Constance Marie",United States,2002,PG-13,104 min,"Comedy, Drama, Romance"
s322,Movie,To Catch a Thief,Alfred Hitchcock,"Cary Grant, Grace Kelly, Jessie Royce Landis, John Williams, Charles Vanel, Brigitte Auber, Jean Martinelli, Georgette Anys",United States,1955,PG,106 min,"Drama, Suspense"
s339,Movie,Tiger Zinda Hai,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Paresh Rawal, Girish Karnad, Anant Vidhaat, Kumud Kumar Mishra, Angad Bedi, Sajjad Delafrooz",India,2017,13+,159 min,"Action, Drama, International"
s341,Movie,Ticker,Albert Pyun,"Tom Sizemore, Dennis Hopper, Steven Seagal",United States,2001,R,92 min,"Action, Adventure, Suspense"
s351,Movie,Three Wishes,Martha Coolidge,"Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello, Seth Mumy",United States,1995,13+,116 min,"Adventure, Fantasy"
s366,Movie,Think Like a Dog (4K UHD),Gil Junger,"Gabriel Bateman, Josh Duhamel, Megan Fox, Kunal Nayyar, Julia Jones, Janet Montgomery, Bryan Callen, Todd Stashwick, Neo Hooo","China, United States, United Kingdom",2020,PG,91 min,"Comedy, Kids"
s367,Movie,Think Like a Dog,Gil Junger,"Gabriel Bateman, Josh Duhamel, Megan Fox, Kunal Nayyar, Julia Jones, Janet Montgomery, Bryan Callen, Todd Stashwick, Neo Hooo","China, United States, United Kingdom",2020,PG,91 min,"Comedy, Kids"
s374,Movie,The Zookeeper,Ralph Ziman,"Sam Neill, Gina McKee, Ulrich Thomsen, Om Puri","Denmark, United Kingdom, Czech Republic, Netherlands",2001,13+,99 min,Drama
s375,Movie,The Zombie King,Aidan Belizaire,"Edward Furlong, Corey Feldman, George McCluskey",United Kingdom,2013,16+,96 min,"Comedy, Horror"
s398,Movie,The Wereth Eleven,Robert Child,"Corey Reynolds, Ken Arnold",United States,2011,13+,61 min,"Documentary, Military and War"
